parameter,estimate,robust_se_hc3,t_stat,normal_approx_p_value,ci_95_low,ci_95_high
Intercepto (Ecuador),17.938112045086744,15.730540224203775,1.1403366819841503,0.25414606108312243,-12.893746794352655,48.769970884526145
Efecto fijo: Colombia,6.09446693645353,2.9404370164068547,2.072639849943403,0.038205809486924425,0.33121038429609495,11.857723488610965
Efecto fijo: Ecuador,12.715342935507902,3.332131856168772,3.8159783238973577,0.00013564441254417659,6.18436449741711,19.246321373598693
Efecto fijo: Venezuela,-2.6187954712846837,2.8088975506271603,-0.9323214620981704,0.3511704193753509,-8.124234670513918,2.8866437279445503
Uso de internet (%),0.42724713789325186,0.17474359957749902,2.444994488646591,0.014485435550010299,0.0847496827213538,0.7697445930651499
Crecimiento PIB real per cápita (%),0.13233586994429788,0.11317104824152191,1.1693438560529696,0.24226512029937275,-0.08947938460908506,0.3541511244976808
