country,country_code,year,indicator,indicator_code,value,source_id,source_file
Colombia,COL,2024,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,0.408620603822158,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2020,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,-10.3108339169142,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2021,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,8.57789544186942,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2022,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,5.0282959697896,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2023,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,0.948258262430642,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2024,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,-2.7842885423931,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2020,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,-28.6057438496512,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2021,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,1.3599718379524,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2022,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,8.16956905683747,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2023,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,3.70013368160016,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Venezuela,VEN,2024,gdp_per_capita_growth_pct,NY.GDP.PCAP.KD.ZG,5.13594862074156,banco_mundial_wdi_empleo_pib_desempleo,wdi_NY.GDP.PCAP.KD.ZG_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2020,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,49.602,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2021,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,55.085,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2022,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,57.3,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2023,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,58.463,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Argentina,ARG,2024,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,57.439,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2020,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,53.279,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2021,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,55.389,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2022,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,56.498,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2023,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,57.623,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Colombia,COL,2024,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,57.418,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2020,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,56.361,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
Ecuador,ECU,2021,employment_to_population_15_plus_pct,SL.EMP.TOTL.SP.ZS,62.728,banco_mundial_wdi_empleo_pib_desempleo,wdi_SL.EMP.TOTL.SP.ZS_ECU_VEN_ARG_COL_2020_2025.json
